Age,Player_ID,Field_Goal_Percentage,Free_Throw_Percentage,Total_Rebounds,Assists,Steals,Block_Shots,Points,Salary,Season,Team
22-003,jamesle01,0.412,0.455,5,5,2,0,19,4621800,2005-06,Cleveland Cavaliers
22-003,jamesle01,0.412,0.455,5,5,2,0,19,5828090,2006-07,Cleveland Cavaliers
22-003,jamesle01,0.412,0.455,5,5,2,0,19,13041250,2007-08,Cleveland Cavaliers
22-003,jamesle01,0.412,0.455,5,5,2,0,19,14410581,2008-09,Cleveland Cavaliers
22-003,jamesle01,0.412,0.455,5,5,2,0,19,15779912,2009-10,Cleveland Cavaliers
22-003,jamesle01,0.412,0.455,5,5,2,0,19,14500000,2010-11,Miami Heat
22-003,jamesle01,0.412,0.455,5,5,2,0,19,16022500,2011-12,Miami Heat
22-003,jamesle01,0.412,0.455,5,5,2,0,19,17545000,2012-13,Miami Heat
22-003,jamesle01,0.412,0.455,5,5,2,0,19,19067500,2013-14,Miami Heat
22-003,jamesle01,0.412,0.455,5,5,2,0,19,20644400,2014-15,Cleveland Cavaliers
22-003,jamesle01,0.412,0.455,5,5,2,0,19,22971000,2015-16,Cleveland Cavaliers
22-003,jamesle01,0.412,0.455,5,5,2,0,19,30963450,2016-17,Cleveland Cavaliers
22-003,jamesle01,0.412,0.455,5,5,2,0,19,33285709,2017-18,Cleveland Cavaliers
22-004,jamesle01,0.55,0.8,6,4,3,1,32,4018920,2003-04,Cleveland Cavaliers
22-004,jamesle01,0.55,0.8,6,4,3,1,32,4320360,2004-05,Cleveland Cavaliers
22-004,jamesle01,0.55,0.8,6,4,3,1,32,4621800,2005-06,Cleveland Cavaliers
22-004,jamesle01,0.55,0.8,6,4,3,1,32,5828090,2006-07,Cleveland Cavaliers
22-004,jamesle01,0.55,0.8,6,4,3,1,32,13041250,2007-08,Cleveland Cavaliers
22-004,jamesle01,0.55,0.8,6,4,3,1,32,14410581,2008-09,Cleveland Cavaliers
22-004,jamesle01,0.55,0.8,6,4,3,1,32,15779912,2009-10,Cleveland Cavaliers
22-004,jamesle01,0.55,0.8,6,4,3,1,32,14500000,2010-11,Miami Heat
22-004,jamesle01,0.55,0.8,6,4,3,1,32,16022500,2011-12,Miami Heat
22-004,jamesle01,0.55,0.8,6,4,3,1,32,17545000,2012-13,Miami Heat
22-004,jamesle01,0.55,0.8,6,4,3,1,32,19067500,2013-14,Miami Heat
22-004,jamesle01,0.55,0.8,6,4,3,1,32,20644400,2014-15,Cleveland Cavaliers
22-004,jamesle01,0.55,0.8,6,4,3,1,32,22971000,2015-16,Cleveland Cavaliers
22-004,jamesle01,0.55,0.8,6,4,3,1,32,30963450,2016-17,Cleveland Cavaliers
22-004,jamesle01,0.55,0.8,6,4,3,1,32,33285709,2017-18,Cleveland Cavaliers
22-006,jamesle01,0.231,1,5,9,1,0,8,4018920,2003-04,Cleveland Cavaliers
22-006,jamesle01,0.231,1,5,9,1,0,8,4320360,2004-05,Cleveland Cavaliers
22-006,jamesle01,0.231,1,5,9,1,0,8,4621800,2005-06,Cleveland Cavaliers
22-006,jamesle01,0.231,1,5,9,1,0,8,5828090,2006-07,Cleveland Cavaliers
22-006,jamesle01,0.231,1,5,9,1,0,8,13041250,2007-08,Cleveland Cavaliers
22-006,jamesle01,0.231,1,5,9,1,0,8,14410581,2008-09,Cleveland Cavaliers
22-006,jamesle01,0.231,1,5,9,1,0,8,15779912,2009-10,Cleveland Cavaliers
22-006,jamesle01,0.231,1,5,9,1,0,8,14500000,2010-11,Miami Heat
22-006,jamesle01,0.231,1,5,9,1,0,8,16022500,2011-12,Miami Heat
22-006,jamesle01,0.231,1,5,9,1,0,8,17545000,2012-13,Miami Heat
22-006,jamesle01,0.231,1,5,9,1,0,8,19067500,2013-14,Miami Heat
22-006,jamesle01,0.231,1,5,9,1,0,8,20644400,2014-15,Cleveland Cavaliers
22-006,jamesle01,0.231,1,5,9,1,0,8,22971000,2015-16,Cleveland Cavaliers
22-006,jamesle01,0.231,1,5,9,1,0,8,30963450,2016-17,Cleveland Cavaliers
22-006,jamesle01,0.231,1,5,9,1,0,8,33285709,2017-18,Cleveland Cavaliers
22-007,jamesle01,0.429,,13,4,3,3,19,4018920,2003-04,Cleveland Cavaliers
22-007,jamesle01,0.429,,13,4,3,3,19,4320360,2004-05,Cleveland Cavaliers
22-007,jamesle01,0.429,,13,4,3,3,19,4621800,2005-06,Cleveland Cavaliers
22-007,jamesle01,0.429,,13,4,3,3,19,5828090,2006-07,Cleveland Cavaliers
22-007,jamesle01,0.429,,13,4,3,3,19,13041250,2007-08,Cleveland Cavaliers
22-007,jamesle01,0.429,,13,4,3,3,19,14410581,2008-09,Cleveland Cavaliers
22-007,jamesle01,0.429,,13,4,3,3,19,15779912,2009-10,Cleveland Cavaliers
22-007,jamesle01,0.429,,13,4,3,3,19,14500000,2010-11,Miami Heat
22-007,jamesle01,0.429,,13,4,3,3,19,16022500,2011-12,Miami Heat
22-007,jamesle01,0.429,,13,4,3,3,19,17545000,2012-13,Miami Heat
22-007,jamesle01,0.429,,13,4,3,3,19,19067500,2013-14,Miami Heat
22-007,jamesle01,0.429,,13,4,3,3,19,20644400,2014-15,Cleveland Cavaliers
22-007,jamesle01,0.429,,13,4,3,3,19,22971000,2015-16,Cleveland Cavaliers
22-007,jamesle01,0.429,,13,4,3,3,19,30963450,2016-17,Cleveland Cavaliers
22-007,jamesle01,0.429,,13,4,3,3,19,33285709,2017-18,Cleveland Cavaliers
22-010,jamesle01,0.538,1,4,7,2,1,34,4018920,2003-04,Cleveland Cavaliers
22-010,jamesle01,0.538,1,4,7,2,1,34,4320360,2004-05,Cleveland Cavaliers
22-010,jamesle01,0.538,1,4,7,2,1,34,4621800,2005-06,Cleveland Cavaliers
22-010,jamesle01,0.538,1,4,7,2,1,34,5828090,2006-07,Cleveland Cavaliers
22-010,jamesle01,0.538,1,4,7,2,1,34,13041250,2007-08,Cleveland Cavaliers
22-010,jamesle01,0.538,1,4,7,2,1,34,14410581,2008-09,Cleveland Cavaliers
22-010,jamesle01,0.538,1,4,7,2,1,34,15779912,2009-10,Cleveland Cavaliers
22-010,jamesle01,0.538,1,4,7,2,1,34,14500000,2010-11,Miami Heat
22-010,jamesle01,0.538,1,4,7,2,1,34,16022500,2011-12,Miami Heat
22-010,jamesle01,0.538,1,4,7,2,1,34,17545000,2012-13,Miami Heat
22-010,jamesle01,0.538,1,4,7,2,1,34,19067500,2013-14,Miami Heat
22-010,jamesle01,0.538,1,4,7,2,1,34,20644400,2014-15,Cleveland Cavaliers
22-010,jamesle01,0.538,1,4,7,2,1,34,22971000,2015-16,Cleveland Cavaliers
22-010,jamesle01,0.538,1,4,7,2,1,34,30963450,2016-17,Cleveland Cavaliers
22-010,jamesle01,0.538,1,4,7,2,1,34,33285709,2017-18,Cleveland Cavaliers
22-012,jamesle01,0.536,0.5,6,6,1,0,34,4018920,2003-04,Cleveland Cavaliers
22-012,jamesle01,0.536,0.5,6,6,1,0,34,4320360,2004-05,Cleveland Cavaliers
22-012,jamesle01,0.536,0.5,6,6,1,0,34,4621800,2005-06,Cleveland Cavaliers
22-012,jamesle01,0.536,0.5,6,6,1,0,34,5828090,2006-07,Cleveland Cavaliers
22-012,jamesle01,0.536,0.5,6,6,1,0,34,13041250,2007-08,Cleveland Cavaliers
22-012,jamesle01,0.536,0.5,6,6,1,0,34,14410581,2008-09,Cleveland Cavaliers
22-012,jamesle01,0.536,0.5,6,6,1,0,34,15779912,2009-10,Cleveland Cavaliers
22-012,jamesle01,0.536,0.5,6,6,1,0,34,14500000,2010-11,Miami Heat
22-012,jamesle01,0.536,0.5,6,6,1,0,34,16022500,2011-12,Miami Heat
22-012,jamesle01,0.536,0.5,6,6,1,0,34,17545000,2012-13,Miami Heat
22-012,jamesle01,0.536,0.5,6,6,1,0,34,19067500,2013-14,Miami Heat
22-012,jamesle01,0.536,0.5,6,6,1,0,34,20644400,2014-15,Cleveland Cavaliers
22-012,jamesle01,0.536,0.5,6,6,1,0,34,22971000,2015-16,Cleveland Cavaliers
22-012,jamesle01,0.536,0.5,6,6,1,0,34,30963450,2016-17,Cleveland Cavaliers
22-012,jamesle01,0.536,0.5,6,6,1,0,34,33285709,2017-18,Cleveland Cavaliers
22-014,jamesle01,0.435,1,6,6,1,0,28,4018920,2003-04,Cleveland Cavaliers
22-014,jamesle01,0.435,1,6,6,1,0,28,4320360,2004-05,Cleveland Cavaliers
22-014,jamesle01,0.435,1,6,6,1,0,28,4621800,2005-06,Cleveland Cavaliers
22-014,jamesle01,0.435,1,6,6,1,0,28,5828090,2006-07,Cleveland Cavaliers
22-014,jamesle01,0.435,1,6,6,1,0,28,13041250,2007-08,Cleveland Cavaliers
22-014,jamesle01,0.435,1,6,6,1,0,28,14410581,2008-09,Cleveland Cavaliers
22-014,jamesle01,0.435,1,6,6,1,0,28,15779912,2009-10,Cleveland Cavaliers
22-014,jamesle01,0.435,1,6,6,1,0,28,14500000,2010-11,Miami Heat
22-014,jamesle01,0.435,1,6,6,1,0,28,16022500,2011-12,Miami Heat
22-014,jamesle01,0.435,1,6,6,1,0,28,17545000,2012-13,Miami Heat
22-014,jamesle01,0.435,1,6,6,1,0,28,19067500,2013-14,Miami Heat
22-014,jamesle01,0.435,1,6,6,1,0,28,20644400,2014-15,Cleveland Cavaliers
22-014,jamesle01,0.435,1,6,6,1,0,28,22971000,2015-16,Cleveland Cavaliers
22-014,jamesle01,0.435,1,6,6,1,0,28,30963450,2016-17,Cleveland Cavaliers
22-014,jamesle01,0.435,1,6,6,1,0,28,33285709,2017-18,Cleveland Cavaliers
22-017,jamesle01,0.381,0.867,7,8,2,1,30,4018920,2003-04,Cleveland Cavaliers
22-017,jamesle01,0.381,0.867,7,8,2,1,30,4320360,2004-05,Cleveland Cavaliers
22-017,jamesle01,0.381,0.867,7,8,2,1,30,4621800,2005-06,Cleveland Cavaliers
22-017,jamesle01,0.381,0.867,7,8,2,1,30,5828090,2006-07,Cleveland Cavaliers
22-017,jamesle01,0.381,0.867,7,8,2,1,30,13041250,2007-08,Cleveland Cavaliers
22-017,jamesle01,0.381,0.867,7,8,2,1,30,14410581,2008-09,Cleveland Cavaliers
22-017,jamesle01,0.381,0.867,7,8,2,1,30,15779912,2009-10,Cleveland Cavaliers
22-017,jamesle01,0.381,0.867,7,8,2,1,30,14500000,2010-11,Miami Heat
22-017,jamesle01,0.381,0.867,7,8,2,1,30,16022500,2011-12,Miami Heat
22-017,jamesle01,0.381,0.867,7,8,2,1,30,17545000,2012-13,Miami Heat
22-017,jamesle01,0.381,0.867,7,8,2,1,30,19067500,2013-14,Miami Heat
22-017,jamesle01,0.381,0.867,7,8,2,1,30,20644400,2014-15,Cleveland Cavaliers
22-017,jamesle01,0.381,0.867,7,8,2,1,30,22971000,2015-16,Cleveland Cavaliers
22-017,jamesle01,0.381,0.867,7,8,2,1,30,30963450,2016-17,Cleveland Cavaliers
22-017,jamesle01,0.381,0.867,7,8,2,1,30,33285709,2017-18,Cleveland Cavaliers
22-018,jamesle01,0.381,0.462,6,2,1,0,23,4018920,2003-04,Cleveland Cavaliers
22-018,jamesle01,0.381,0.462,6,2,1,0,23,4320360,2004-05,Cleveland Cavaliers
22-018,jamesle01,0.381,0.462,6,2,1,0,23,4621800,2005-06,Cleveland Cavaliers
22-018,jamesle01,0.381,0.462,6,2,1,0,23,5828090,2006-07,Cleveland Cavaliers
22-018,jamesle01,0.381,0.462,6,2,1,0,23,13041250,2007-08,Cleveland Cavaliers
22-018,jamesle01,0.381,0.462,6,2,1,0,23,14410581,2008-09,Cleveland Cavaliers
22-018,jamesle01,0.381,0.462,6,2,1,0,23,15779912,2009-10,Cleveland Cavaliers
22-018,jamesle01,0.381,0.462,6,2,1,0,23,14500000,2010-11,Miami Heat
22-018,jamesle01,0.381,0.462,6,2,1,0,23,16022500,2011-12,Miami Heat
22-018,jamesle01,0.381,0.462,6,2,1,0,23,17545000,2012-13,Miami Heat
22-018,jamesle01,0.381,0.462,6,2,1,0,23,19067500,2013-14,Miami Heat
22-018,jamesle01,0.381,0.462,6,2,1,0,23,20644400,2014-15,Cleveland Cavaliers
22-018,jamesle01,0.381,0.462,6,2,1,0,23,22971000,2015-16,Cleveland Cavaliers
22-018,jamesle01,0.381,0.462,6,2,1,0,23,30963450,2016-17,Cleveland Cavaliers
22-018,jamesle01,0.381,0.462,6,2,1,0,23,33285709,2017-18,Cleveland Cavaliers
22-020,jamesle01,0.391,0.857,10,10,2,0,30,4018920,2003-04,Cleveland Cavaliers
22-020,jamesle01,0.391,0.857,10,10,2,0,30,4320360,2004-05,Cleveland Cavaliers
22-020,jamesle01,0.391,0.857,10,10,2,0,30,4621800,2005-06,Cleveland Cavaliers
22-020,jamesle01,0.391,0.857,10,10,2,0,30,5828090,2006-07,Cleveland Cavaliers
22-020,jamesle01,0.391,0.857,10,10,2,0,30,13041250,2007-08,Cleveland Cavaliers
22-020,jamesle01,0.391,0.857,10,10,2,0,30,14410581,2008-09,Cleveland Cavaliers
22-020,jamesle01,0.391,0.857,10,10,2,0,30,15779912,2009-10,Cleveland Cavaliers
22-020,jamesle01,0.391,0.857,10,10,2,0,30,14500000,2010-11,Miami Heat
22-020,jamesle01,0.391,0.857,10,10,2,0,30,16022500,2011-12,Miami Heat
22-020,jamesle01,0.391,0.857,10,10,2,0,30,17545000,2012-13,Miami Heat
22-020,jamesle01,0.391,0.857,10,10,2,0,30,19067500,2013-14,Miami Heat
22-020,jamesle01,0.391,0.857,10,10,2,0,30,20644400,2014-15,Cleveland Cavaliers
22-020,jamesle01,0.391,0.857,10,10,2,0,30,22971000,2015-16,Cleveland Cavaliers
22-020,jamesle01,0.391,0.857,10,10,2,0,30,30963450,2016-17,Cleveland Cavaliers
22-020,jamesle01,0.391,0.857,10,10,2,0,30,33285709,2017-18,Cleveland Cavaliers
22-021,jamesle01,0.636,0.4,7,5,4,0,32,4018920,2003-04,Cleveland Cavaliers
22-021,jamesle01,0.636,0.4,7,5,4,0,32,4320360,2004-05,Cleveland Cavaliers
22-021,jamesle01,0.636,0.4,7,5,4,0,32,4621800,2005-06,Cleveland Cavaliers
22-021,jamesle01,0.636,0.4,7,5,4,0,32,5828090,2006-07,Cleveland Cavaliers
22-021,jamesle01,0.636,0.4,7,5,4,0,32,13041250,2007-08,Cleveland Cavaliers
22-021,jamesle01,0.636,0.4,7,5,4,0,32,14410581,2008-09,Cleveland Cavaliers
22-021,jamesle01,0.636,0.4,7,5,4,0,32,15779912,2009-10,Cleveland Cavaliers
22-021,jamesle01,0.636,0.4,7,5,4,0,32,14500000,2010-11,Miami Heat
22-021,jamesle01,0.636,0.4,7,5,4,0,32,16022500,2011-12,Miami Heat
22-021,jamesle01,0.636,0.4,7,5,4,0,32,17545000,2012-13,Miami Heat
22-021,jamesle01,0.636,0.4,7,5,4,0,32,19067500,2013-14,Miami Heat
22-021,jamesle01,0.636,0.4,7,5,4,0,32,20644400,2014-15,Cleveland Cavaliers
22-021,jamesle01,0.636,0.4,7,5,4,0,32,22971000,2015-16,Cleveland Cavaliers
22-021,jamesle01,0.636,0.4,7,5,4,0,32,30963450,2016-17,Cleveland Cavaliers
22-021,jamesle01,0.636,0.4,7,5,4,0,32,33285709,2017-18,Cleveland Cavaliers
22-023,jamesle01,0.4,0.462,4,5,3,0,18,4018920,2003-04,Cleveland Cavaliers
22-023,jamesle01,0.4,0.462,4,5,3,0,18,4320360,2004-05,Cleveland Cavaliers
22-023,jamesle01,0.4,0.462,4,5,3,0,18,4621800,2005-06,Cleveland Cavaliers
22-023,jamesle01,0.4,0.462,4,5,3,0,18,5828090,2006-07,Cleveland Cavaliers
22-023,jamesle01,0.4,0.462,4,5,3,0,18,13041250,2007-08,Cleveland Cavaliers
22-023,jamesle01,0.4,0.462,4,5,3,0,18,14410581,2008-09,Cleveland Cavaliers
22-023,jamesle01,0.4,0.462,4,5,3,0,18,15779912,2009-10,Cleveland Cavaliers
22-023,jamesle01,0.4,0.462,4,5,3,0,18,14500000,2010-11,Miami Heat
22-023,jamesle01,0.4,0.462,4,5,3,0,18,16022500,2011-12,Miami Heat
22-023,jamesle01,0.4,0.462,4,5,3,0,18,17545000,2012-13,Miami Heat
22-023,jamesle01,0.4,0.462,4,5,3,0,18,19067500,2013-14,Miami Heat
22-023,jamesle01,0.4,0.462,4,5,3,0,18,20644400,2014-15,Cleveland Cavaliers
22-023,jamesle01,0.4,0.462,4,5,3,0,18,22971000,2015-16,Cleveland Cavaliers
22-023,jamesle01,0.4,0.462,4,5,3,0,18,30963450,2016-17,Cleveland Cavaliers
22-023,jamesle01,0.4,0.462,4,5,3,0,18,33285709,2017-18,Cleveland Cavaliers
22-025,jamesle01,0.538,0.615,10,5,1,0,39,4018920,2003-04,Cleveland Cavaliers
22-025,jamesle01,0.538,0.615,10,5,1,0,39,4320360,2004-05,Cleveland Cavaliers
22-025,jamesle01,0.538,0.615,10,5,1,0,39,4621800,2005-06,Cleveland Cavaliers
22-025,jamesle01,0.538,0.615,10,5,1,0,39,5828090,2006-07,Cleveland Cavaliers
22-025,jamesle01,0.538,0.615,10,5,1,0,39,13041250,2007-08,Cleveland Cavaliers
22-025,jamesle01,0.538,0.615,10,5,1,0,39,14410581,2008-09,Cleveland Cavaliers
22-025,jamesle01,0.538,0.615,10,5,1,0,39,15779912,2009-10,Cleveland Cavaliers
22-025,jamesle01,0.538,0.615,10,5,1,0,39,14500000,2010-11,Miami Heat
22-025,jamesle01,0.538,0.615,10,5,1,0,39,16022500,2011-12,Miami Heat
22-025,jamesle01,0.538,0.615,10,5,1,0,39,17545000,2012-13,Miami Heat
22-025,jamesle01,0.538,0.615,10,5,1,0,39,19067500,2013-14,Miami Heat
22-025,jamesle01,0.538,0.615,10,5,1,0,39,20644400,2014-15,Cleveland Cavaliers
22-025,jamesle01,0.538,0.615,10,5,1,0,39,22971000,2015-16,Cleveland Cavaliers
22-025,jamesle01,0.538,0.615,10,5,1,0,39,30963450,2016-17,Cleveland Cavaliers
22-025,jamesle01,0.538,0.615,10,5,1,0,39,33285709,2017-18,Cleveland Cavaliers
22-029,jamesle01,0.545,0.5,9,5,2,0,30,4018920,2003-04,Cleveland Cavaliers
22-029,jamesle01,0.545,0.5,9,5,2,0,30,4320360,2004-05,Cleveland Cavaliers
22-029,jamesle01,0.545,0.5,9,5,2,0,30,4621800,2005-06,Cleveland Cavaliers
22-029,jamesle01,0.545,0.5,9,5,2,0,30,5828090,2006-07,Cleveland Cavaliers
22-029,jamesle01,0.545,0.5,9,5,2,0,30,13041250,2007-08,Cleveland Cavaliers
22-029,jamesle01,0.545,0.5,9,5,2,0,30,14410581,2008-09,Cleveland Cavaliers
22-029,jamesle01,0.545,0.5,9,5,2,0,30,15779912,2009-10,Cleveland Cavaliers
22-029,jamesle01,0.545,0.5,9,5,2,0,30,14500000,2010-11,Miami Heat
22-029,jamesle01,0.545,0.5,9,5,2,0,30,16022500,2011-12,Miami Heat
22-029,jamesle01,0.545,0.5,9,5,2,0,30,17545000,2012-13,Miami Heat
22-029,jamesle01,0.545,0.5,9,5,2,0,30,19067500,2013-14,Miami Heat
22-029,jamesle01,0.545,0.5,9,5,2,0,30,20644400,2014-15,Cleveland Cavaliers
22-029,jamesle01,0.545,0.5,9,5,2,0,30,22971000,2015-16,Cleveland Cavaliers
22-029,jamesle01,0.545,0.5,9,5,2,0,30,30963450,2016-17,Cleveland Cavaliers
22-029,jamesle01,0.545,0.5,9,5,2,0,30,33285709,2017-18,Cleveland Cavaliers
22-033,jamesle01,0.333,0.375,6,9,1,0,17,4018920,2003-04,Cleveland Cavaliers
22-033,jamesle01,0.333,0.375,6,9,1,0,17,4320360,2004-05,Cleveland Cavaliers
22-033,jamesle01,0.333,0.375,6,9,1,0,17,4621800,2005-06,Cleveland Cavaliers
22-033,jamesle01,0.333,0.375,6,9,1,0,17,5828090,2006-07,Cleveland Cavaliers
22-033,jamesle01,0.333,0.375,6,9,1,0,17,13041250,2007-08,Cleveland Cavaliers
22-033,jamesle01,0.333,0.375,6,9,1,0,17,14410581,2008-09,Cleveland Cavaliers
22-033,jamesle01,0.333,0.375,6,9,1,0,17,15779912,2009-10,Cleveland Cavaliers
22-033,jamesle01,0.333,0.375,6,9,1,0,17,14500000,2010-11,Miami Heat
22-033,jamesle01,0.333,0.375,6,9,1,0,17,16022500,2011-12,Miami Heat
22-033,jamesle01,0.333,0.375,6,9,1,0,17,17545000,2012-13,Miami Heat
22-033,jamesle01,0.333,0.375,6,9,1,0,17,19067500,2013-14,Miami Heat
22-033,jamesle01,0.333,0.375,6,9,1,0,17,20644400,2014-15,Cleveland Cavaliers
22-033,jamesle01,0.333,0.375,6,9,1,0,17,22971000,2015-16,Cleveland Cavaliers
22-033,jamesle01,0.333,0.375,6,9,1,0,17,30963450,2016-17,Cleveland Cavaliers
22-033,jamesle01,0.333,0.375,6,9,1,0,17,33285709,2017-18,Cleveland Cavaliers
22-034,jamesle01,0.538,0.5,10,3,2,0,18,4018920,2003-04,Cleveland Cavaliers
22-034,jamesle01,0.538,0.5,10,3,2,0,18,4320360,2004-05,Cleveland Cavaliers
22-034,jamesle01,0.538,0.5,10,3,2,0,18,4621800,2005-06,Cleveland Cavaliers
22-034,jamesle01,0.538,0.5,10,3,2,0,18,5828090,2006-07,Cleveland Cavaliers
22-034,jamesle01,0.538,0.5,10,3,2,0,18,13041250,2007-08,Cleveland Cavaliers
22-034,jamesle01,0.538,0.5,10,3,2,0,18,14410581,2008-09,Cleveland Cavaliers
22-034,jamesle01,0.538,0.5,10,3,2,0,18,15779912,2009-10,Cleveland Cavaliers
22-034,jamesle01,0.538,0.5,10,3,2,0,18,14500000,2010-11,Miami Heat
22-034,jamesle01,0.538,0.5,10,3,2,0,18,16022500,2011-12,Miami Heat
22-034,jamesle01,0.538,0.5,10,3,2,0,18,17545000,2012-13,Miami Heat
22-034,jamesle01,0.538,0.5,10,3,2,0,18,19067500,2013-14,Miami Heat
22-034,jamesle01,0.538,0.5,10,3,2,0,18,20644400,2014-15,Cleveland Cavaliers
22-034,jamesle01,0.538,0.5,10,3,2,0,18,22971000,2015-16,Cleveland Cavaliers
22-034,jamesle01,0.538,0.5,10,3,2,0,18,30963450,2016-17,Cleveland Cavaliers
22-034,jamesle01,0.538,0.5,10,3,2,0,18,33285709,2017-18,Cleveland Cavaliers
22-036,jamesle01,0.409,0.667,5,6,2,0,21,4018920,2003-04,Cleveland Cavaliers
22-036,jamesle01,0.409,0.667,5,6,2,0,21,4320360,2004-05,Cleveland Cavaliers
22-036,jamesle01,0.409,0.667,5,6,2,0,21,4621800,2005-06,Cleveland Cavaliers
22-036,jamesle01,0.409,0.667,5,6,2,0,21,5828090,2006-07,Cleveland Cavaliers
22-036,jamesle01,0.409,0.667,5,6,2,0,21,13041250,2007-08,Cleveland Cavaliers
22-036,jamesle01,0.409,0.667,5,6,2,0,21,14410581,2008-09,Cleveland Cavaliers
22-036,jamesle01,0.409,0.667,5,6,2,0,21,15779912,2009-10,Cleveland Cavaliers
22-036,jamesle01,0.409,0.667,5,6,2,0,21,14500000,2010-11,Miami Heat
22-036,jamesle01,0.409,0.667,5,6,2,0,21,16022500,2011-12,Miami Heat
22-036,jamesle01,0.409,0.667,5,6,2,0,21,17545000,2012-13,Miami Heat
22-036,jamesle01,0.409,0.667,5,6,2,0,21,19067500,2013-14,Miami Heat
22-036,jamesle01,0.409,0.667,5,6,2,0,21,20644400,2014-15,Cleveland Cavaliers
22-036,jamesle01,0.409,0.667,5,6,2,0,21,22971000,2015-16,Cleveland Cavaliers
22-036,jamesle01,0.409,0.667,5,6,2,0,21,30963450,2016-17,Cleveland Cavaliers
22-036,jamesle01,0.409,0.667,5,6,2,0,21,33285709,2017-18,Cleveland Cavaliers
22-039,jamesle01,0.308,1,7,3,1,1,11,4018920,2003-04,Cleveland Cavaliers
22-039,jamesle01,0.308,1,7,3,1,1,11,4320360,2004-05,Cleveland Cavaliers
22-039,jamesle01,0.308,1,7,3,1,1,11,4621800,2005-06,Cleveland Cavaliers
22-039,jamesle01,0.308,1,7,3,1,1,11,5828090,2006-07,Cleveland Cavaliers
22-039,jamesle01,0.308,1,7,3,1,1,11,13041250,2007-08,Cleveland Cavaliers
22-039,jamesle01,0.308,1,7,3,1,1,11,14410581,2008-09,Cleveland Cavaliers
22-039,jamesle01,0.308,1,7,3,1,1,11,15779912,2009-10,Cleveland Cavaliers
22-039,jamesle01,0.308,1,7,3,1,1,11,14500000,2010-11,Miami Heat
22-039,jamesle01,0.308,1,7,3,1,1,11,16022500,2011-12,Miami Heat
22-039,jamesle01,0.308,1,7,3,1,1,11,17545000,2012-13,Miami Heat
22-039,jamesle01,0.308,1,7,3,1,1,11,19067500,2013-14,Miami Heat
22-039,jamesle01,0.308,1,7,3,1,1,11,20644400,2014-15,Cleveland Cavaliers
22-039,jamesle01,0.308,1,7,3,1,1,11,22971000,2015-16,Cleveland Cavaliers
22-039,jamesle01,0.308,1,7,3,1,1,11,30963450,2016-17,Cleveland Cavaliers
22-039,jamesle01,0.308,1,7,3,1,1,11,33285709,2017-18,Cleveland Cavaliers
22-041,jamesle01,0.545,0.5,7,6,0,0,29,4018920,2003-04,Cleveland Cavaliers
22-041,jamesle01,0.545,0.5,7,6,0,0,29,4320360,2004-05,Cleveland Cavaliers
22-041,jamesle01,0.545,0.5,7,6,0,0,29,4621800,2005-06,Cleveland Cavaliers
22-041,jamesle01,0.545,0.5,7,6,0,0,29,5828090,2006-07,Cleveland Cavaliers
22-041,jamesle01,0.545,0.5,7,6,0,0,29,13041250,2007-08,Cleveland Cavaliers
22-041,jamesle01,0.545,0.5,7,6,0,0,29,14410581,2008-09,Cleveland Cavaliers
22-041,jamesle01,0.545,0.5,7,6,0,0,29,15779912,2009-10,Cleveland Cavaliers
22-041,jamesle01,0.545,0.5,7,6,0,0,29,14500000,2010-11,Miami Heat
22-041,jamesle01,0.545,0.5,7,6,0,0,29,16022500,2011-12,Miami Heat
22-041,jamesle01,0.545,0.5,7,6,0,0,29,17545000,2012-13,Miami Heat
22-041,jamesle01,0.545,0.5,7,6,0,0,29,19067500,2013-14,Miami Heat
22-041,jamesle01,0.545,0.5,7,6,0,0,29,20644400,2014-15,Cleveland Cavaliers
22-041,jamesle01,0.545,0.5,7,6,0,0,29,22971000,2015-16,Cleveland Cavaliers
22-041,jamesle01,0.545,0.5,7,6,0,0,29,30963450,2016-17,Cleveland Cavaliers
22-041,jamesle01,0.545,0.5,7,6,0,0,29,33285709,2017-18,Cleveland Cavaliers
22-043,jamesle01,0.313,0.667,8,5,1,1,18,4018920,2003-04,Cleveland Cavaliers
22-043,jamesle01,0.313,0.667,8,5,1,1,18,4320360,2004-05,Cleveland Cavaliers
22-043,jamesle01,0.313,0.667,8,5,1,1,18,4621800,2005-06,Cleveland Cavaliers
22-043,jamesle01,0.313,0.667,8,5,1,1,18,5828090,2006-07,Cleveland Cavaliers
22-043,jamesle01,0.313,0.667,8,5,1,1,18,13041250,2007-08,Cleveland Cavaliers
22-043,jamesle01,0.313,0.667,8,5,1,1,18,14410581,2008-09,Cleveland Cavaliers
22-043,jamesle01,0.313,0.667,8,5,1,1,18,15779912,2009-10,Cleveland Cavaliers
22-043,jamesle01,0.313,0.667,8,5,1,1,18,14500000,2010-11,Miami Heat
22-043,jamesle01,0.313,0.667,8,5,1,1,18,16022500,2011-12,Miami Heat
22-043,jamesle01,0.313,0.667,8,5,1,1,18,17545000,2012-13,Miami Heat
22-043,jamesle01,0.313,0.667,8,5,1,1,18,19067500,2013-14,Miami Heat
22-043,jamesle01,0.313,0.667,8,5,1,1,18,20644400,2014-15,Cleveland Cavaliers
